recipeName,Rating,instructions,ingredientName
"Chicken Quesadillas",0,"Preheat the broiler. Grease a baking sheet.
Toss the chicken with the fajita seasoning, then spread onto the baking sheet.
Place under the broiler and cook until the chicken pieces are no longer pink in the center, about 5 minutes.
Preheat oven to 350 degrees F (175 degrees C). Heat the oil in a large saucepan over medium heat. 
Stir in the green bell peppers, red bell peppers, onion, and chicken. Cook and stir until the vegetables have softened, about 10 minutes.
Layer half of each tortilla with the chicken and vegetable mixture, then sprinkle with the Cheddar cheese, bacon bits, and Monterey Jack. 
Fold the tortillas in half and Place onto a baking sheet.
Bake quesadillas in the preheated oven until the cheeses have melted, about 10 minutes.","mozzarella cheese"
"Chicken Quesadillas",0,"Preheat the broiler. Grease a baking sheet.
Toss the chicken with the fajita seasoning, then spread onto the baking sheet.
Place under the broiler and cook until the chicken pieces are no longer pink in the center, about 5 minutes.
Preheat oven to 350 degrees F (175 degrees C). Heat the oil in a large saucepan over medium heat. 
Stir in the green bell peppers, red bell peppers, onion, and chicken. Cook and stir until the vegetables have softened, about 10 minutes.
Layer half of each tortilla with the chicken and vegetable mixture, then sprinkle with the Cheddar cheese, bacon bits, and Monterey Jack. 
Fold the tortillas in half and Place onto a baking sheet.
Bake quesadillas in the preheated oven until the cheeses have melted, about 10 minutes.",salt
"Chicken Quesadillas",0,"Preheat the broiler. Grease a baking sheet.
Toss the chicken with the fajita seasoning, then spread onto the baking sheet.
Place under the broiler and cook until the chicken pieces are no longer pink in the center, about 5 minutes.
Preheat oven to 350 degrees F (175 degrees C). Heat the oil in a large saucepan over medium heat. 
Stir in the green bell peppers, red bell peppers, onion, and chicken. Cook and stir until the vegetables have softened, about 10 minutes.
Layer half of each tortilla with the chicken and vegetable mixture, then sprinkle with the Cheddar cheese, bacon bits, and Monterey Jack. 
Fold the tortillas in half and Place onto a baking sheet.
Bake quesadillas in the preheated oven until the cheeses have melted, about 10 minutes.","sour cream"
"Chicken Quesadillas",0,"Preheat the broiler. Grease a baking sheet.
Toss the chicken with the fajita seasoning, then spread onto the baking sheet.
Place under the broiler and cook until the chicken pieces are no longer pink in the center, about 5 minutes.
Preheat oven to 350 degrees F (175 degrees C). Heat the oil in a large saucepan over medium heat. 
Stir in the green bell peppers, red bell peppers, onion, and chicken. Cook and stir until the vegetables have softened, about 10 minutes.
Layer half of each tortilla with the chicken and vegetable mixture, then sprinkle with the Cheddar cheese, bacon bits, and Monterey Jack. 
Fold the tortillas in half and Place onto a baking sheet.
Bake quesadillas in the preheated oven until the cheeses have melted, about 10 minutes.",tortilla
"Chicken Salad Wrap",0,"In a medium bowl, mix Astro Original yogourt and all other ingredients except lettuce and wraps, together.
 To serve, place 1/4 cup of chicken mixture down the center of 1 tortilla. Top with ¼ cup lettuce.
 Roll tortilla over itself to form a wrap.
 Repeat with remaining ingredients.",celery
"Chicken Salad Wrap",0,"In a medium bowl, mix Astro Original yogourt and all other ingredients except lettuce and wraps, together.
 To serve, place 1/4 cup of chicken mixture down the center of 1 tortilla. Top with ¼ cup lettuce.
 Roll tortilla over itself to form a wrap.
 Repeat with remaining ingredients.",chicken
"Chicken Salad Wrap",0,"In a medium bowl, mix Astro Original yogourt and all other ingredients except lettuce and wraps, together.
 To serve, place 1/4 cup of chicken mixture down the center of 1 tortilla. Top with ¼ cup lettuce.
 Roll tortilla over itself to form a wrap.
 Repeat with remaining ingredients.",corn
"Chicken Salad Wrap",0,"In a medium bowl, mix Astro Original yogourt and all other ingredients except lettuce and wraps, together.
 To serve, place 1/4 cup of chicken mixture down the center of 1 tortilla. Top with ¼ cup lettuce.
 Roll tortilla over itself to form a wrap.
 Repeat with remaining ingredients.",mayonnaise
"Chicken Salad Wrap",0,"In a medium bowl, mix Astro Original yogourt and all other ingredients except lettuce and wraps, together.
 To serve, place 1/4 cup of chicken mixture down the center of 1 tortilla. Top with ¼ cup lettuce.
 Roll tortilla over itself to form a wrap.
 Repeat with remaining ingredients.",tortilla
"Chicken Salad Wrap",0,"In a medium bowl, mix Astro Original yogourt and all other ingredients except lettuce and wraps, together.
 To serve, place 1/4 cup of chicken mixture down the center of 1 tortilla. Top with ¼ cup lettuce.
 Roll tortilla over itself to form a wrap.
 Repeat with remaining ingredients.",cilantro
"Ronas with the Boyz",6,"Get your limes ready, crack open that Rona, and have a cold one with the boyz",lime
"Ronas with the Boyz",6,"Get your limes ready, crack open that Rona, and have a cold one with the boyz",corona
"Chicken Alfredo",0,"In a large skillet over medium-high heat, heat oil. Add chicken and season with salt and pepper. Cook until golden and cooked through, 8 minutes per side. Let rest 10 minutes, then slice.Add milk and garlic to skillet. Season with salt and pepper and bring to a simmer. Add pasta, stirring frequently for about 3 minutes. Let cook until al dente, 8 minutes more. Stir in heavy cream and cheese until combined. Simmer until sauce thickens. Remove from heat and stir in sliced chicken. Garnish ",chicken
"Chicken Alfredo",0,"In a large skillet over medium-high heat, heat oil. Add chicken and season with salt and pepper. Cook until golden and cooked through, 8 minutes per side. Let rest 10 minutes, then slice.Add milk and garlic to skillet. Season with salt and pepper and bring to a simmer. Add pasta, stirring frequently for about 3 minutes. Let cook until al dente, 8 minutes more. Stir in heavy cream and cheese until combined. Simmer until sauce thickens. Remove from heat and stir in sliced chicken. Garnish ",garlic
"Chicken Alfredo",0,"In a large skillet over medium-high heat, heat oil. Add chicken and season with salt and pepper. Cook until golden and cooked through, 8 minutes per side. Let rest 10 minutes, then slice.Add milk and garlic to skillet. Season with salt and pepper and bring to a simmer. Add pasta, stirring frequently for about 3 minutes. Let cook until al dente, 8 minutes more. Stir in heavy cream and cheese until combined. Simmer until sauce thickens. Remove from heat and stir in sliced chicken. Garnish ",milk
"Chicken Alfredo",0,"In a large skillet over medium-high heat, heat oil. Add chicken and season with salt and pepper. Cook until golden and cooked through, 8 minutes per side. Let rest 10 minutes, then slice.Add milk and garlic to skillet. Season with salt and pepper and bring to a simmer. Add pasta, stirring frequently for about 3 minutes. Let cook until al dente, 8 minutes more. Stir in heavy cream and cheese until combined. Simmer until sauce thickens. Remove from heat and stir in sliced chicken. Garnish ","vegetable oil"
"Chicken Alfredo",0,"In a large skillet over medium-high heat, heat oil. Add chicken and season with salt and pepper. Cook until golden and cooked through, 8 minutes per side. Let rest 10 minutes, then slice.Add milk and garlic to skillet. Season with salt and pepper and bring to a simmer. Add pasta, stirring frequently for about 3 minutes. Let cook until al dente, 8 minutes more. Stir in heavy cream and cheese until combined. Simmer until sauce thickens. Remove from heat and stir in sliced chicken. Garnish ","wholegrain pasta"
"Chicken Alfredo",0,"In a large skillet over medium-high heat, heat oil. Add chicken and season with salt and pepper. Cook until golden and cooked through, 8 minutes per side. Let rest 10 minutes, then slice.Add milk and garlic to skillet. Season with salt and pepper and bring to a simmer. Add pasta, stirring frequently for about 3 minutes. Let cook until al dente, 8 minutes more. Stir in heavy cream and cheese until combined. Simmer until sauce thickens. Remove from heat and stir in sliced chicken. Garnish ","heavy cream"
"Chicken Alfredo",0,"In a large skillet over medium-high heat, heat oil. Add chicken and season with salt and pepper. Cook until golden and cooked through, 8 minutes per side. Let rest 10 minutes, then slice.Add milk and garlic to skillet. Season with salt and pepper and bring to a simmer. Add pasta, stirring frequently for about 3 minutes. Let cook until al dente, 8 minutes more. Stir in heavy cream and cheese until combined. Simmer until sauce thickens. Remove from heat and stir in sliced chicken. Garnish ",cheese
"Fried Rice",0,"Preheat a large skillet or wok to medium heat.
Pour sesame oil in the bottom.
Add white onion and peas and carrots and fry until tender.
Slide the onion, peas and carrots to the side, and pour the beaten eggs onto the other side.
Using a spatula, scramble the eggs.
Once cooked, mix the eggs with the vegetable mix.
Add the rice to the veggie and egg mixture. Pour the soy sauce on top.
Stir and fry the rice and veggie mixture until heated through and combined.
Add chopped green onions if desired.",carrot
"Fried Rice",0,"Preheat a large skillet or wok to medium heat.
Pour sesame oil in the bottom.
Add white onion and peas and carrots and fry until tender.
Slide the onion, peas and carrots to the side, and pour the beaten eggs onto the other side.
Using a spatula, scramble the eggs.
Once cooked, mix the eggs with the vegetable mix.
Add the rice to the veggie and egg mixture. Pour the soy sauce on top.
Stir and fry the rice and veggie mixture until heated through and combined.
Add chopped green onions if desired.",egg
"Fried Rice",0,"Preheat a large skillet or wok to medium heat.
Pour sesame oil in the bottom.
Add white onion and peas and carrots and fry until tender.
Slide the onion, peas and carrots to the side, and pour the beaten eggs onto the other side.
Using a spatula, scramble the eggs.
Once cooked, mix the eggs with the vegetable mix.
Add the rice to the veggie and egg mixture. Pour the soy sauce on top.
Stir and fry the rice and veggie mixture until heated through and combined.
Add chopped green onions if desired.",pea
"Fried Rice",0,"Preheat a large skillet or wok to medium heat.
Pour sesame oil in the bottom.
Add white onion and peas and carrots and fry until tender.
Slide the onion, peas and carrots to the side, and pour the beaten eggs onto the other side.
Using a spatula, scramble the eggs.
Once cooked, mix the eggs with the vegetable mix.
Add the rice to the veggie and egg mixture. Pour the soy sauce on top.
Stir and fry the rice and veggie mixture until heated through and combined.
Add chopped green onions if desired.","soy sauce"
"Fried Rice",0,"Preheat a large skillet or wok to medium heat.
Pour sesame oil in the bottom.
Add white onion and peas and carrots and fry until tender.
Slide the onion, peas and carrots to the side, and pour the beaten eggs onto the other side.
Using a spatula, scramble the eggs.
Once cooked, mix the eggs with the vegetable mix.
Add the rice to the veggie and egg mixture. Pour the soy sauce on top.
Stir and fry the rice and veggie mixture until heated through and combined.
Add chopped green onions if desired.","vegetable oil"
"Fried Rice",0,"Preheat a large skillet or wok to medium heat.
Pour sesame oil in the bottom.
Add white onion and peas and carrots and fry until tender.
Slide the onion, peas and carrots to the side, and pour the beaten eggs onto the other side.
Using a spatula, scramble the eggs.
Once cooked, mix the eggs with the vegetable mix.
Add the rice to the veggie and egg mixture. Pour the soy sauce on top.
Stir and fry the rice and veggie mixture until heated through and combined.
Add chopped green onions if desired.","white rice"
"Fried Rice",0,"Preheat a large skillet or wok to medium heat.
Pour sesame oil in the bottom.
Add white onion and peas and carrots and fry until tender.
Slide the onion, peas and carrots to the side, and pour the beaten eggs onto the other side.
Using a spatula, scramble the eggs.
Once cooked, mix the eggs with the vegetable mix.
Add the rice to the veggie and egg mixture. Pour the soy sauce on top.
Stir and fry the rice and veggie mixture until heated through and combined.
Add chopped green onions if desired.","white onion"
"Peanut Butter and Jelly Sandwich",0,"Heat griddle or skillet to 350 degrees F (175 degrees C).
Spread butter on one side of each slice of bread.
Spread peanut butter on unbuttered side of one slice of bread,
and jelly on the other. Place one slice, buttered side down on the griddle.
Top with other slice, so that peanut butter and jelly are in the middle.
Cook for 4 minutes on each side, or until golden brown, and heated through.",bread
"Peanut Butter and Jelly Sandwich",0,"Heat griddle or skillet to 350 degrees F (175 degrees C).
Spread butter on one side of each slice of bread.
Spread peanut butter on unbuttered side of one slice of bread,
and jelly on the other. Place one slice, buttered side down on the griddle.
Top with other slice, so that peanut butter and jelly are in the middle.
Cook for 4 minutes on each side, or until golden brown, and heated through.",butter
"Peanut Butter and Jelly Sandwich",0,"Heat griddle or skillet to 350 degrees F (175 degrees C).
Spread butter on one side of each slice of bread.
Spread peanut butter on unbuttered side of one slice of bread,
and jelly on the other. Place one slice, buttered side down on the griddle.
Top with other slice, so that peanut butter and jelly are in the middle.
Cook for 4 minutes on each side, or until golden brown, and heated through.","peanut butter"
"Peanut Butter and Jelly Sandwich",0,"Heat griddle or skillet to 350 degrees F (175 degrees C).
Spread butter on one side of each slice of bread.
Spread peanut butter on unbuttered side of one slice of bread,
and jelly on the other. Place one slice, buttered side down on the griddle.
Top with other slice, so that peanut butter and jelly are in the middle.
Cook for 4 minutes on each side, or until golden brown, and heated through.",jam
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!","green pepper"
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",onion
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",pork
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",salt
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",cola
"Pulled Pork",0,"Spray the bottom of a crock pot with cooking spray. Place Pork Roast at the bottom of the crock pot. Next place onion slices and peppers all around the pork. Next empty two cans of Pepsi (or Coca Cola) on top of the pork. Sprinkle pork liberally with salt and pepper. Place lid on the crock pot and set temperature to low and cook for 8 hrs. After 8 hrs remove lid for ½ an hour, then remove roast from crock pot, place on plate or in a bowl and with two forks shred it to desired consistency and enjoy!",pepper
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.",bread
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.",butter
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.","corn beef"
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.",sauerkraut
"Reuben Sandwich",0,"Preheat a large skillet or griddle on medium heat.
Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. 
On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. 
top with remaining bread slices, buttered sides out.
Grill sandwiches until both sides are golden brown, about 15 minutes per side. Serve hot.","swiss cheese"
